#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-14T15:36:27.616Z
166,Split #166,00:00:03.237,00:08:02.716,2023-04-14T15:44:30.332Z
167,Split #167,00:00:02.407,00:08:05.123,2023-04-14T15:44:32.739Z
168,Split #168,00:00:02.523,00:08:07.646,2023-04-14T15:44:35.262Z
169,Split #169,00:00:02.541,00:08:10.187,2023-04-14T15:44:37.803Z
170,Split #170,00:00:02.363,00:08:12.550,2023-04-14T15:44:40.166Z
171,Split #171,00:00:02.586,00:08:15.136,2023-04-14T15:44:42.752Z
172,Split #172,00:00:02.453,00:08:17.589,2023-04-14T15:44:45.205Z
173,Split #173,00:00:03.421,00:08:21.010,2023-04-14T15:44:48.626Z
174,Split #174,00:00:02.925,00:08:23.935,2023-04-14T15:44:51.551Z
175,Split #175,00:00:02.722,00:08:26.657,2023-04-14T15:44:54.273Z
176,Split #176,00:00:03.184,00:08:29.841,2023-04-14T15:44:57.457Z
177,Split #177,00:00:03.081,00:08:32.922,2023-04-14T15:45:00.538Z
178,Split #178,00:00:02.680,00:08:35.602,2023-04-14T15:45:03.218Z
179,Split #179,00:00:03.351,00:08:38.953,2023-04-14T15:45:06.569Z
180,Split #180,00:00:02.815,00:08:41.768,2023-04-14T15:45:09.384Z
181,Split #181,00:00:03.644,00:08:45.412,2023-04-14T15:45:13.028Z
182,Split #182,00:00:02.724,00:08:48.136,2023-04-14T15:45:15.752Z
183,Split #183,00:00:02.563,00:08:50.699,2023-04-14T15:45:18.315Z
184,Split #184,00:00:02.723,00:08:53.422,2023-04-14T15:45:21.038Z
185,Split #185,00:00:02.904,00:08:56.326,2023-04-14T15:45:23.942Z
186,Split #186,00:00:02.967,00:08:59.293,2023-04-14T15:45:26.909Z
187,Split #187,00:00:02.859,00:09:02.152,2023-04-14T15:45:29.768Z
188,Split #188,00:00:02.857,00:09:05.009,2023-04-14T15:45:32.625Z
189,Split #189,00:00:03.217,00:09:08.226,2023-04-14T15:45:35.842Z
190,Split #190,00:00:03.217,00:09:11.443,2023-04-14T15:45:39.059Z
191,Split #191,00:00:02.724,00:09:14.167,2023-04-14T15:45:41.783Z
192,Split #192,00:00:03.150,00:09:17.317,2023-04-14T15:45:44.933Z
193,Split #193,00:00:03.565,00:09:20.882,2023-04-14T15:45:48.498Z
194,Split #194,00:00:02.410,00:09:23.292,2023-04-14T15:45:50.908Z
195,Split #195,00:00:02.497,00:09:25.789,2023-04-14T15:45:53.405Z
196,Split #196,00:00:02.563,00:09:28.352,2023-04-14T15:45:55.968Z
197,Split #197,00:00:02.792,00:09:31.144,2023-04-14T15:45:58.760Z
198,Split #198,00:00:02.575,00:09:33.719,2023-04-14T15:46:01.335Z
199,Split #199,00:00:02.658,00:09:36.377,2023-04-14T15:46:03.993Z
200,Split #200,00:00:02.405,00:09:38.782,2023-04-14T15:46:06.398Z
201,Split #201,00:00:02.116,00:09:40.898,2023-04-14T15:46:08.514Z
202,Split #202,00:00:04.544,00:09:45.442,2023-04-14T15:46:13.058Z
203,Split #203,00:00:03.790,00:09:49.232,2023-04-14T15:46:16.848Z
204,Split #204,00:00:03.850,00:09:53.082,2023-04-14T15:46:20.698Z
205,Split #205,00:00:03.374,00:09:56.456,2023-04-14T15:46:24.072Z
206,Split #206,00:00:03.555,00:10:00.011,2023-04-14T15:46:27.627Z
207,Split #207,00:00:04.097,00:10:04.108,2023-04-14T15:46:31.724Z
208,Split #208,00:00:03.689,00:10:07.797,2023-04-14T15:46:35.413Z
209,Split #209,00:00:03.847,00:10:11.644,2023-04-14T15:46:39.260Z
210,Split #210,00:00:03.691,00:10:15.335,2023-04-14T15:46:42.951Z
211,Split #211,00:00:02.993,00:10:18.328,2023-04-14T15:46:45.944Z
212,Split #212,00:00:02.742,00:10:21.070,2023-04-14T15:46:48.686Z
213,Split #213,00:00:02.836,00:10:23.906,2023-04-14T15:46:51.522Z
214,Split #214,00:00:02.947,00:10:26.853,2023-04-14T15:46:54.469Z
215,Split #215,00:00:02.724,00:10:29.577,2023-04-14T15:46:57.193Z
216,Split #216,00:00:02.565,00:10:32.142,2023-04-14T15:46:59.758Z
217,Split #217,00:00:02.655,00:10:34.797,2023-04-14T15:47:02.413Z
218,Split #218,00:00:03.073,00:10:37.870,2023-04-14T15:47:05.486Z
219,Split #219,00:00:02.633,00:10:40.503,2023-04-14T15:47:08.119Z
220,Split #220,00:00:02.607,00:10:43.110,2023-04-14T15:47:10.726Z
221,Split #221,00:00:02.545,00:10:45.655,2023-04-14T15:47:13.271Z
222,Split #222,00:00:03.217,00:10:48.872,2023-04-14T15:47:16.488Z
223,Split #223,00:00:02.879,00:10:51.751,2023-04-14T15:47:19.367Z
224,Split #224,00:00:02.768,00:10:54.519,2023-04-14T15:47:22.135Z
225,Split #225,00:00:02.700,00:10:57.219,2023-04-14T15:47:24.835Z
226,Split #226,00:00:03.814,00:11:01.033,2023-04-14T15:47:28.649Z
227,Split #227,00:00:03.174,00:11:04.207,2023-04-14T15:47:31.823Z
228,Split #228,00:00:03.440,00:11:07.647,2023-04-14T15:47:35.263Z
229,Split #229,00:00:02.814,00:11:10.461,2023-04-14T15:47:38.077Z
230,Split #230,00:00:02.969,00:11:13.430,2023-04-14T15:47:41.046Z
231,Split #231,00:00:02.700,00:11:16.130,2023-04-14T15:47:43.746Z
232,Split #232,00:00:02.317,00:11:18.447,2023-04-14T15:47:46.063Z
233,Split #233,00:00:02.409,00:11:20.856,2023-04-14T15:47:48.472Z
234,Split #234,00:00:03.217,00:11:24.073,2023-04-14T15:47:51.689Z
235,Split #235,00:00:02.610,00:11:26.683,2023-04-14T15:47:54.299Z
236,Split #236,00:00:02.701,00:11:29.384,2023-04-14T15:47:57.000Z
237,Split #237,00:00:02.474,00:11:31.858,2023-04-14T15:47:59.474Z
238,Split #238,00:00:02.879,00:11:34.737,2023-04-14T15:48:02.353Z
239,Split #239,00:00:02.591,00:11:37.328,2023-04-14T15:48:04.944Z
240,Split #240,00:00:02.878,00:11:40.206,2023-04-14T15:48:07.822Z
241,Split #241,00:00:02.520,00:11:42.726,2023-04-14T15:48:10.342Z
242,Split #242,00:00:03.273,00:11:45.999,2023-04-14T15:48:13.615Z
243,Split #243,00:00:03.556,00:11:49.555,2023-04-14T15:48:17.171Z
244,Split #244,00:00:03.375,00:11:52.930,2023-04-14T15:48:20.546Z
245,Split #245,00:00:03.532,00:11:56.462,2023-04-14T15:48:24.078Z
246,Split #246,00:00:03.981,00:12:00.443,2023-04-14T15:48:28.059Z
247,Split #247,00:00:04.368,00:12:04.811,2023-04-14T15:48:32.427Z
248,Split #248,00:00:00.201,00:12:05.012,2023-04-14T15:48:32.628Z
249,Split #249,00:00:04.820,00:12:09.832,2023-04-14T15:48:37.448Z
250,Split #250,00:00:06.053,00:12:15.885,2023-04-14T15:48:43.501Z
251,Split #251,00:00:05.463,00:12:21.348,2023-04-14T15:48:48.964Z
